SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
Liquidity_v8,sFuzz_true,13,13,2,10,0.2
REXUNIFINANCE,sFuzz_true,1,1,2,10,0.2
CourtFarming_HTStake,sFuzz_true,13,13,0,2,0.0
UNIWHALE_ERC20,sFuzz_true,13,13,1,4,0.25
DJCoin,sFuzz_true,13,13,6,10,0.6
TimeMiner,sFuzz_true,13,13,6,9,0.6666666666666666
Token50X100,sFuzz_true,1,1,1,10,0.1
vnxManager,sFuzz_true,1,1,7,10,0.7
Ledgis,sFuzz_true,1,1,4,10,0.4
CryptoSecureBankToken,sFuzz_true,13,13,2,10,0.2
GreenMarkTrust,sFuzz_true,13,13,3,7,0.42857142857142855
RIT,sFuzz_true,13,13,3,10,0.3
Weedburn,sFuzz_true,1,1,5,10,0.5
UFragments,sFuzz_true,1,1,3,10,0.3
INS,sFuzz_true,1,1,3,7,0.42857142857142855
WOLF,sFuzz_true,1,1,3,6,0.5
OnXFinance,sFuzz_true,1,1,1,10,0.1
Controller,sFuzz_true,13,13,1,10,0.1
KPLAY,sFuzz_true,1,1,2,10,0.2
MarsStakingRewards,sFuzz_true,13,13,5,10,0.5
Vat,sFuzz_true,1,1,3,10,0.3
RainbowRAK,sFuzz_true,1,1,2,10,0.2
TokenDispatch,sFuzz_true,13,13,3,10,0.3
DMONDETHRewards,sFuzz_true,1,1,3,10,0.3
ZAD,sFuzz_true,1,1,2,10,0.2
DmmControllerV2,sFuzz_true,1,1,3,10,0.3
BirdOracle,sFuzz_true,21,21,1,1,1.0
SALESCONTRACT,sFuzz_true,13,13,2,10,0.2
Cryptoz,sFuzz_true,1,1,2,10,0.2
POWToken,sFuzz_true,1,1,0,10,0.0
GAZ_ERC20,sFuzz_true,13,13,1,10,0.1
Revive,sFuzz_true,1,1,5,10,0.5
MisesLegacyPool,sFuzz_true,1,1,1,3,0.3333333333333333
Fomp,sFuzz_true,13,13,6,10,0.6
Voting,sFuzz_true,13,13,10,10,1.0
TetherToken,sFuzz_true,13,13,6,10,0.6
FairStockEquity,sFuzz_true,13,13,2,10,0.2
AavePoolReward,sFuzz_true,1,1,1,3,0.3333333333333333
NasiLiquidityPoolFactory,sFuzz_true,13,13,2,10,0.2
PlasmaswapPair,sFuzz_true,1,1,1,10,0.1
BAE,sFuzz_true,13,13,0,10,0.0
SpiritCoin,sFuzz_true,13,13,5,10,0.5
SLTDETHlpReward,sFuzz_true,1,1,2,10,0.2
WheaFarm,sFuzz_true,13,13,3,10,0.3
HungryHoody,sFuzz_true,13,13,1,2,0.5
QuickToken,sFuzz_true,13,13,6,10,0.6
SLTDStaking,sFuzz_true,13,13,1,10,0.1
ANRXToken,sFuzz_true,13,13,1,8,0.125
Rexona,sFuzz_true,13,13,4,6,0.6666666666666666
Cover_ZapIn_General_V1,sFuzz_true,13,13,6,10,0.6
YRX3,sFuzz_true,1,1,7,10,0.7
Reentrance,sFuzz_true,13,13,1,5,0.2
Dipex,sFuzz_true,13,13,5,6,0.8333333333333334
GardenContractV2,sFuzz_true,1,1,1,10,0.1
ThriftToken,sFuzz_true,1,1,1,10,0.1
BTCParamV2,sFuzz_true,1,1,2,7,0.2857142857142857
AntiBaseProtocol,sFuzz_true,13,13,5,10,0.5
